frame_class	vaf	tpm	frame_length
Hidden Frame	0.3055	0.081972391261437	19
Hidden Frame	0.3188333333333333	0.054648260840958	6
Hidden Frame	0.319	1.639447825228741	8
Hidden Frame	0.3188333333333333	0.3278895650457482	4
Indel	0.5543	0.4918343475686224	29
Hidden Frame	0.3188333333333333	3.4155163025598774	2
Gene Fusion	0.319	28.17117846351387	18
Hidden Frame	0.319	0.027324130420479	18
Gene Fusion	0.319	1.5574754339673045	15
Hidden Frame	0.6867500000000001	0.027324130420479	24
Gene Fusion	0.319	0.2185930433638321	37
Hidden Frame	0.509	0.054648260840958	36
Hidden Frame	0.319	1.1749376080805978	32
Hidden Frame	0.319	0.3005654346252691	35
Hidden Frame	0.319	0.6831032605119755	53
Hidden Frame	0.319	0.5464826084095802	57
Hidden Frame	0.3971666666666666	1.9673373902744895	35
Hidden Frame	0.5573571428571429	0.38253782588670626	53
Hidden Frame	0.5568571428571428	0.027324130420479	56
Hidden Frame	0.5561428571428572	0.5191584779891013	29
Hidden Frame	0.5531071428571428	0.1639447825228741	49
Gene Fusion	0.319	0.6011308692505385	26
Hidden Frame	0.109	0.027324130420479	19
Hidden Frame	0.3055	0.3278895650457482	18
Hidden Frame	0.3485	0.2459171737843112	19
Hidden Frame	0.4515	0.081972391261437	34
Gene Fusion	0.319	0.8470480430348496	21
Hidden Frame	0.319	0.027324130420479	21
Hidden Frame	0.5609999999999999	0.027324130420479	8
Hidden Frame	0.3971666666666666	0.8470480430348495	12
Hidden Frame	0.3485	0.2459171737843112	11
Gene Fusion	0.4755	0.109296521681916	12
Hidden Frame	0.319	0.027324130420479	22
Gene Fusion	0.4855	1.420854781864909	15
Hidden Frame	0.3188333333333333	0.2459171737843112	12
Hidden Frame	0.2085	0.0373718332977055	17
Gene Fusion	0.603	0.2989746663816441	37
Splice	0.3795	0.3176605830304969	10
Hidden Frame	0.2085	0.074743666595411	13
Gene Fusion	0.412	0.0934295832442638	31
Indel	0.3923	1.156583218297787	13
Hidden Frame	0.3295	2.2241984967265136	36
Gene Fusion	0.184	6.049819911096117	13
Hidden Frame	0.3295	0.4448396993453027	46
Gene Fusion	0.2274999999999999	0.0889679398690605	10
Indel	1.1236	0.3558717594762421	4
Hidden Frame	0.587	0.0889679398690605	32
Hidden Frame	0.3295	32.65123393194522	27
Indel	0.2583	0.0889679398690605	15
Gene Fusion	0.184	7.206403129393904	13
Hidden Frame	0.3295	2.402134376464635	47
Hidden Frame	0.587	1.156583218297787	40
Hidden Frame	0.3295	0.6227755790834238	19
Hidden Frame	0.3295	415.836150947989	31
Hidden Frame	0.3295	2.0462626169883924	24
Indel	0.3099	1.7793587973812108	28
Hidden Frame	0.587	0.177935879738121	33
Hidden Frame	0.587	1.334519098035908	32
Gene Fusion	0.364	0.123804052849474	1
Gene Fusion	0.364	2.7236891626884296	46
Gene Fusion	0.4644999999999999	0.2476081056989481	34
Gene Fusion	0.364	2.4760810569894818	22
Gene Fusion	0.4644999999999999	0.123804052849474	9
Gene Fusion	0.4644999999999999	0.9904324227957928	27
Indel	0.2378	0.9904324227957928	16
Indel	0.7989	0.3639321941915985	15
Indel	0.397	0.075717737902293	37
Hidden Frame	0.476	0.075717737902293	2
Stoploss	0.7029	1.4386370201435685	15
Indel	0.9771	115.88847539223528	29
Indel	0.4773	0.8757315520823826	1
Hidden Frame	0.12	2.4325876446732853	86
Indel	0.8802	0.1946070115738628	39
Indel	0.4459	0.1946070115738628	39
Indel	0.4459	0.0973035057869314	146
Indel	0.9303	1.3622490810170396	4
Splice	0.7017	0.1751989120848355	28
Hidden Frame	0.407	0.5255967362545064	4
Hidden Frame	0.049	0.6090232422692153	14
Indel	0.6266	0.0329201752577954	29
Indel	0.5079	0.1810609639178748	71
Indel	0.3845	0.1481407886600794	4
Hidden Frame	0.311	0.6254833298981131	4
Gene Fusion	0.4489999999999999	0.1152206134022839	5
Hidden Frame	0.759	3.3249377010373378	49
Indel	0.0747	0.1481407886600794	3
